Feature                 Score_(R^2)_Left    Score_(R^2)_Right    Score_(LASSO)_Left    Score_(LASSO)_Right    Score_(R^1)_Left    Score_(R^1)_Right    R1_Left    R1_Right    R2_Left    R2_Right    Coef_Left    Coef_Right    explained_variance_left    explained_variance_right    max_error_left    max_error_right    mean_absolute_error_left    mean_absolute_error_right    mean_squared_error_left    mean_squared_error_right    median_absolute_error_left    median_absolute_error_right    mean_absolute_percentage_error_left    mean_absolute_percentage_error_right    mean_pinball_loss_left    mean_pinball_loss_right    d2_pinball_score_left    d2_pinball_score_right    d2_absolute_error_score_left    d2_absolute_error_score_right
E1_SPEC_MOM                  0.00556085           0.0814669             0.00359456             0.0785838          -1.32123e+17       -inf              28.0613     28.3403    1054.29     1077.84  0.00315367    0.00996838                 0.00556085                  0.0814669            3.53042             1.887                      0.733431                     0.606452                   0.948421                    0.597439                      0.495398                       0.416827                            1.33311                                 2.79786                     0.366715                    0.303226             -0.0205317                -0.0636034                      -0.0627659                       -0.0371295
E1_SPEC_EDGE                 0.000352373          0.0682636             0                      0.0658869          -2.78528e+16       -inf              28.1046     28.3331    1059.41     1077.3   0.00068394    0.0100503                  0.000352373                 0.0682636            2.87346             3.0175                     0.618456                     0.645214                   0.707639                    0.735171                      0.485793                       0.52295                             1.029                                   1.33946                     0.309228                    0.322607             -0.0405455                -0.0320699                      -0.0406691                       -0.0615078
E1_SPEC_ENT                  2.58663e-05          0.0521314             0                      0.0501748          -1.60871e+16         -2.39417e+16    28.0869     28.3091    1058.94     1075.62  0.000209222   0.00967992                 2.58663e-05                 0.0521314            3.52459             3.98226                    0.714409                     0.664516                   0.902405                    0.908497                      0.558826                       0.468691                            1.08504                                 2.80704                     0.357204                    0.332258             -0.0337706                 0.00757102                     -0.0380531                       -0.0724555
E1_SLOPE                     0.00081935           0.047428              0                      0.0456669          -3.15151e+16         -3.31796e+16    28.1461     28.3298    1062.75     1075.67  0.000909021   0.00973178                 0.00081935                  0.047428             3.69405             4.05615                    0.524831                     0.736735                   0.537344                    1.01433                       0.399168                       0.587518                            3.39114                                 1.06555                     0.262416                    0.368367             -0.0522677                 0.00493735                     -0.00942061                      -0.0699816
E1_INTERCEPT                 0.000216001          0.0462376             0                      0.0438259          -3.31605e+16         -5.75297e+16    28.109      28.2766    1060.1      1073.09  0.000580271   0.00821115                 0.000216001                 0.0462376            3.58676             2.78243                    0.73631                      0.638709                   0.831082                    0.741624                      0.634709                       0.459185                            1.11936                                 1.22271                     0.368155                    0.319354             -0.103254                  0.0171717                      -0.0371204                        0.00953377
E1_MEAN_FREQ                 0.000125507          0.00152577            0                      9.14264e-05      -inf                 -inf              28.0828     28.1348    1058.67     1062.72  0.000480199   0.00193414                 0.000125507                 0.00152577           5.19219             5.39683                    0.677432                     0.854422                   0.979603                    1.30542                       0.49641                        0.731616                            1.10326                                 1.11607                     0.338716                    0.427211             -0.00714748               -0.0243395                      -0.0807169                       -0.0795224
E1_OCC_BAND                  0.0120418            0.00294709            0.0106898              0.000663592      -inf                   -1.21734e+17    28.2052     28.0545    1068.03     1056.48  0.00559661    0.00213042                 0.0120418                   0.00294709           7.2531              3.26347                    0.785673                     0.675761                   1.37034                     0.818817                      0.577106                       0.547391                            2.35248                                 1.05753                     0.392836                    0.33788              -0.0863751                -0.00403015                     -0.0788115                       -0.0365715
E1_POWER_BAND                0.00334993           0.00733651            0.000594146            0.00600526         -2.40083e+16         -6.59292e+16    28.068      28.2371    1057.42     1066.64  0.00206759    0.00440236                 0.00334993                  0.00733651           4.28442             6.90916                    0.599728                     0.731961                   0.678213                    1.39834                       0.470968                       0.461008                            1.15361                                 1.28523                     0.299864                    0.365981             -0.0761438                 0.00240462                     -0.0277594                       -0.0762809
E1_WLT_ENT                   1.89818e-05          0.00249661            0                      0.000978037        -1.9123e+16        -inf              28.1        28.1569    1059.93     1063.99  0.000180543   0.00240451                 1.89818e-05                 0.00249661           4.85633             5.05661                    0.636923                     0.769989                   0.91569                     1.23183                       0.493458                       0.53061                             1.12053                                 1.74817                     0.318461                    0.384995             -0.0240053                -0.00309663                     -0.028497                        -0.0938568
E1_KURT                      0.00415056           0.00655908            0.000901159            0.00536968         -3.06876e+16         -6.92364e+16    28.0602     28.2335    1056.79     1067.34  0.00211944    0.0044038                  0.00415056                  0.00655908           2.85749             7.29007                    0.596227                     0.768678                   0.574725                    1.56634                       0.459958                       0.491972                            1.06602                                 1.07113                     0.298113                    0.384339             -0.0563397                -0.000994743                    -0.036975                        -0.0813188
E1_SKEW                      0.00517698           0.00716172            0.00084034             0.00617426       -inf                   -6.79951e+16    28.068      28.1961    1057.3      1067.6   0.00204895    0.0050503                  0.00517698                  0.00716172           3.3279              7.3462                     0.434443                     0.754897                   0.430191                    1.8855                        0.305233                       0.480163                            1.05228                                 1.91534                     0.217222                    0.377449              0.00764378               -0.0413314                      -0.0349571                       -0.145404
E1_VAR                       0.0130271            0.0108496             0.00890363             0.0098041          -3.6817e+16          -7.50735e+16    28.0399     28.26      1055.22     1069.38  0.00333321    0.006041                   0.0130271                   0.0108496            1.88066             7.13692                    0.510939                     0.833483                   0.448865                    1.77418                       0.380801                       0.517547                            1.16909                                 1.43771                     0.255469                    0.416742             -0.022152                  0.0209488                      -0.0238474                       -0.0547151
E1_STD                       0.0284882            0.000817584           0.0261303              0                -inf                 -inf              27.9749     28.1321    1050.53     1061.86  0.00651836    0.00148245                 0.0284882                   0.000817584          4.12707             7.32084                    0.620327                     0.735023                   0.772664                    1.4322                        0.47699                        0.461619                            1.27048                                 1.29423                     0.310164                    0.367511             -0.00230797                0.00225329                     -0.0211692                       -0.10946
E1_LOG_ENE_ENT               0.0184599            0.0161952             0.0159109              0.01488            -2.74013e+16         -1.40911e+16    27.9999     28.2949    1052.37     1070.73  0.00504664    0.00658057                 0.0184599                   0.0161952            4.25837             6.98564                    0.608432                     0.782213                   0.722128                    1.40275                       0.503239                       0.531329                            1.15419                                 1.14773                     0.304216                    0.391106             -0.0206076                -0.0196258                       0.0126268                       -0.0545499
E1_BETA_ALPHA_RATIO          0.00146854           1.13459e-05           0                      0                  -1.03394e+17         -4.56088e+16    28.0828     28.1058    1058.55     1059.85  0.00140619    0.000179897                0.00146854                  1.13459e-05          4.33153             7.42423                    0.573949                     0.759539                   0.716953                    1.52102                       0.421353                       0.441012                            0.997417                                1.38547                     0.286975                    0.37977              -0.010627                 -0.00166937                     -0.0524066                       -0.102028
E1_BP_THETA                  0.000724632          7.82497e-05           0                      0                  -5.15946e+16         -2.02456e+16    28.0957     28.1614    1059.46     1060.85  0.000895109   0.000444585                0.000724632                 7.82497e-05          2.83898             7.20648                    0.572815                     0.674315                   0.589184                    1.34686                       0.468629                       0.470342                            1.3758                                  1.07238                     0.286407                    0.337157             -0.0267405                -0.0028177                      -0.0359969                       -0.13688
E2_BP_15.5_18.5              0.00024372           3.59829e-10           0                      0                  -2.94495e+16         -7.39126e+16    28.0966     28.108     1059.65     1059.8   0.000627619   1.04179e-06                0.00024372                  3.59829e-10          4.38106             6.43151                    0.653909                     0.820595                   0.86164                     1.6084                        0.533691                       0.626036                            0.998628                                1.10094                     0.326955                    0.410298             -0.0439398                -0.00350154                     -0.0238041                       -0.0820448
E2_BP_8_10.5                 0.00105407           0.000237848           0                      0                  -6.37159e+16         -2.3491e+16     28.1206     28.1059    1061.41     1060.24  0.00126476    0.000608521                0.00105407                  0.000237848          2.81183             4.0293                     0.707388                     0.652005                   0.808386                    0.830002                      0.572806                       0.537645                            2.11366                                 1.53537                     0.353694                    0.326003             -0.0661617                -0.100167                       -0.0134586                       -0.00278432
E2_BP_10_15.5                0.00496521           0.000366909           0.00280796             0                  -2.77941e+16         -1.6529e+16     28.1798     28.1461    1064.83     1063.43  0.00284503    0.000830388                0.00496521                  0.000366909          2.61339             4.11659                    0.77144                      0.734037                   0.864981                    1.00179                       0.694952                       0.618878                            0.989811                                1.21836                     0.38572                     0.367018             -0.0672246                -0.0354004                      -0.0204221                       -0.0212041
E2_BP_17.5_20.5              0.0217964            0.000218559           0.0199037              0                  -3.45159e+16         -1.92966e+16    28.2315     28.1715    1069.19     1064.93  0.00636396    0.00051249                 0.0217964                   0.000218559          2.968               2.38835                    0.766406                     0.642706                   0.969238                    0.640675                      0.625612                       0.565875                            1.54847                                 1.3822                      0.383203                    0.321353             -0.0744505                -0.0905388                       0.0148008                       -0.00111986
E2_BP_12.5_30                0.0124846            2.90624e-07           0.0105405              0                  -6.70486e+16         -2.21174e+16    28.2281     28.1186    1068.45     1061.43  0.00475221    2.47798e-05                0.0124846                   2.90624e-07          3.89686             5.56159                    0.744389                     0.736656                   0.952557                    1.12666                       0.613988                       0.575558                            1.05589                                 0.990025                    0.372195                    0.368328             -0.0208332                -0.0388923                      -0.0510842                       -0.0609585
E2_RTP                       0.00413849           0.00317385            0.002448               0.00013103         -2.3408e+17          -1.80442e+16    28.1746     28.1547    1065.62     1063.88  0.00293416    0.00191524                 0.00413849                  0.00317385           6.71181             2.50177                    0.649702                     0.600994                   1.10473                     0.614344                      0.430015                       0.4443                              1.20746                                 1.59068                     0.324851                    0.300497             -0.0351098                -0.0600337                      -0.082234                        -0.0363681
E2_SPEC_MOM                  0.0194589            0.00170093            0.0177035              0                  -3.47257e+16         -1.19218e+17    28.2709     28.1633    1071.7      1063.88  0.00624369    0.00151246                 0.0194589                   0.00170093           4.45834             3.21015                    0.771065                     0.66179                    1.04752                     0.715934                      0.583024                       0.575244                            1.33508                                 1.04689                     0.385533                    0.330895             -0.036233                 -0.0417536                      -0.085859                        -0.0283444
E2_SPEC_EDGE                 0.00454617           0.0023113             0.00223088             0.00082008         -1.25936e+17         -4.70294e+16    28.184      28.1666    1065        1065.09  0.00262778    0.00233467                 0.00454617                  0.0023113            3.51482             4.8498                     0.699083                     0.783197                   0.806278                    1.25465                       0.556034                       0.538864                            1.02019                                 1.09873                     0.349541                    0.391599             -0.0549094                -0.0155312                      -0.0368446                       -0.0565449
E2_SPEC_ENT                  0.0460409            0.00122884            0.0439841              0                  -6.92728e+16         -2.99532e+16    28.3142     28.1628    1074.49     1064.62  0.00887246    0.00141116                 0.0460409                   0.00122884           3.21625             4.01093                    0.769083                     0.665094                   0.86977                     0.863081                      0.716041                       0.568442                            2.21326                                 1.37089                     0.384541                    0.332547             -0.0851634                -0.0079214                      -0.0228188                       -0.0253083
E2_SLOPE                     0.000135773          0.00432726            0                      0.00274236         -6.39249e+16         -1.55522e+16    28.1423     28.1702    1061.97     1065.32  0.000492144   0.00309867                 0.000135773                 0.00432726           4.93269             4.75403                    0.709709                     0.776988                   0.951137                    1.17811                       0.578164                       0.594026                            1.03942                                 1.04891                     0.354854                    0.388494             -0.069506                 -0.00598047                     -0.0409731                       -0.058247
E2_INTERCEPT                 0.00276533           0.0190742             0                      0.0168264        -inf                   -3.99222e+16    28.1608     28.2751    1064.35     1069.14  0.00180968    0.00546274                 0.00276533                  0.0190742            2.22909             3.95033                    0.640741                     0.664838                   0.629772                    0.818354                      0.580913                       0.521738                            1.29464                                 1.95374                     0.32037                     0.332419             -0.0686104                -0.0599222                      -0.0169932                       -0.000515135
E2_MEAN_FREQ                 0.00418576           0.00126898            0.00245501             0                  -5.11596e+16         -2.09213e+16    28.1642     28.1052    1064.82     1058.08  0.00291635    0.00152814                 0.00418576                  0.00126898           5.03568             3.51641                    0.709982                     0.812956                   1.07898                     0.980058                      0.551488                       0.734522                            1.30938                                 1.10698                     0.354991                    0.406478             -0.0125735                -0.0615019                       0.000560007                     -0.0364878
E2_OCC_BAND                  0.0167305            0.0147543             0.0149225              0.0120152          -6.68279e+16       -inf              28.237      28.2588    1070.09     1067.89  0.00570456    0.00435237                 0.0167305                   0.0147543            3.24775             2.91114                    0.741939                     0.653632                   1.01986                     0.674541                      0.499298                       0.610294                            1.50344                                 1.03614                     0.370969                    0.326816             -0.0255565                -0.0827388                      -0.0288172                       -0.0233909
E2_POWER_BAND                0.0122909            0.029419              0.0105707              0.0267104          -2.61651e+16         -5.13014e+16    28.2499     28.2594    1069.42     1070.65  0.00501268    0.0061803                  0.0122909                   0.029419             5.00707             3.29472                    0.726228                     0.56956                    1.07675                     0.671977                      0.581074                       0.412925                            1.05301                                 1.13231                     0.363114                    0.28478              -0.00302889               -0.00109898                     -0.034647                         0.0184273
E2_WLT_ENT                   0.0100836            0.0177704             0.00814388             0.0152075        -inf                   -6.00092e+16    28.2256     28.2107    1067.8      1068.13  0.00427569    0.00493796                 0.0100836                   0.0177704            3.93269             3.15834                    0.72858                      0.666236                   0.957033                    0.71869                       0.689532                       0.531787                           35.8489                                  1.14559                     0.36429                     0.333118             -0.012311                 -0.0334969                      -0.0480877                       -0.0167559
E2_KURT                      0.000331246          0.0226324             0                      0.0203531          -5.1764e+16          -2.86992e+16    28.1325     28.2306    1061.45     1069.67  0.00064312    0.00590928                 0.000331246                 0.0226324            3.67117             4.43125                    0.574696                     0.637251                   0.66561                     0.804132                      0.498524                       0.547289                            0.972931                                1.16638                     0.287348                    0.318625             -0.041234                  0.0123623                      -0.0224435                       -0.0192578
E2_SKEW                      0.00234206           0.00578695            0.000644447            0.00247519         -1.42949e+16         -4.56282e+16    28.151      28.1614    1063.4      1064.36  0.00220267    0.00247893                 0.00234206                  0.00578695           4.61393             2.55361                    0.714175                     0.506575                   1.10208                     0.562975                      0.508752                       0.327564                            0.995569                                0.894905                    0.357087                    0.253287             -0.0025508                 0.0101564                      -0.0653734                       -0.0180249
E2_VAR                       0.00413701           0.0220345             0.00123377             0.0201867          -3.20651e+16         -2.00694e+16    28.1949     28.2323    1064.28     1069.88  0.00223857    0.00647577                 0.00413701                  0.0220345            3.72749             4.9274                     0.533991                     0.668445                   0.64326                     0.992506                      0.394527                       0.606361                            1.64458                                 1.12645                     0.266996                    0.334222             -0.0162725                 0.0334903                      -0.0278721                       -0.0395451
E2_STD                       0.0171379            0.0322643             0.0157511              0.0296308          -5.47108e+16         -1.21408e+17    28.245      28.2664    1070.81     1071.39  0.00659226    0.00656385                 0.0171379                   0.0322643            3.97098             2.54078                    0.911117                     0.673949                   1.32902                     0.6891                        0.728746                       0.595004                            2.11157                                 1.11258                     0.455559                    0.336975             -0.0202295                -0.053696                       -0.0573576                        0.00531309
E2_LOG_ENE_ENT               0.000299246          0.0471628             0                      0.0454064          -3.27529e+16         -3.44827e+16    28.1412     28.2987    1061.95     1074.88  0.000679831   0.00971753                 0.000299246                 0.0471628            2.4939              2.56534                    0.72726                      0.765669                   0.823331                    1.01733                       0.659725                       0.555343                            1.10176                                 1.38702                     0.36363                     0.382835             -0.0172788                 0.00676559                     -0.0651671                        0.021869
E2_BETA_ALPHA_RATIO          0.00372999           0.0652074             0.00145028             0.0635451          -4.32331e+16         -2.16826e+16    28.154      28.423     1063.74     1079.56  0.00239874    0.0117453                  0.00372999                  0.0652074            2.93441             5.01154                    0.719977                     0.722174                   0.819534                    1.05458                       0.555931                       0.546876                            1.6275                                  1.38503                     0.359988                    0.361087             -0.0893608                -0.0445528                       0.00606728                      -0.0301378
E2_BP_THETA                  0.00206877           0.0194522             0                      0.0176728          -1.65183e+16         -1.31795e+17    28.1595     28.2168    1064.23     1068.73  0.00158085    0.0062004                  0.00206877                  0.0194522            3.89801             5.51991                    0.550169                     0.731612                   0.64284                     1.03341                       0.436544                       0.59997                             1.31359                                 1.15045                     0.275085                    0.365806             -0.0254455                -0.0399703                      -0.0391501                       -0.0254959
E3_BP_15.5_18.5              0.000674062          0.0131731             0                      0.0119448          -1.63603e+16         -1.50191e+17    28.1302     28.2278    1061.99     1069.8   0.000788691   0.0061412                  0.000674062                 0.0131731            1.81287             6.58765                    0.544908                     0.833728                   0.491759                    1.50657                       0.382046                       0.587579                            2.28252                                 1.65064                     0.272454                    0.416864             -0.098216                 -0.0544729                       0.00139891                      -0.0501322
E3_BP_8_10.5                 6.65468e-05          0.0241166             0                      0.0226883          -3.03512e+16         -1.72723e+16    28.1221     28.3995    1061.35     1073.83  0.000295832   0.00770571                 6.65468e-05                 0.0241166            2.22817             6.64534                    0.673932                     0.767043                   0.701235                    1.28126                       0.626471                       0.59564                             1.35968                                11.539                       0.336966                    0.383522             -0.111141                 -0.0967754                      -0.00873645                      -0.049451
E3_BP_10_15.5                0.00523692           0.000258153           0.00361047             0                  -4.00663e+16         -1.98836e+16    28.0566     28.1274    1056.82     1060.95  0.00336501    0.000573712                0.00523692                  0.000258153          4.65004             2.40689                    0.778443                     0.662256                   1.14696                     0.679718                      0.632194                       0.581902                            2.5636                                  0.986802                    0.389222                    0.331128             -0.0479559                -0.100134                       -0.0045303                        0.000202912
E3_BP_17.5_20.5              9.71315e-05          0.0120517             0                      0.00972719         -3.47553e+16         -6.42756e+16    28.1154     28.2199    1061.14     1067.93  0.000431151   0.00427003                 9.71315e-05                 0.0120517            4.25698             2.45824                    0.771724                     0.713602                   1.02044                     0.797041                      0.647054                       0.658487                            0.995463                                1.21041                     0.385862                    0.356801             -0.0687183                -0.109592                       -0.0179223                        0.0113234
E3_BP_12.5_30                0.0133517            0.00266343            0.011529               0.000160609        -3.40885e+16         -5.17325e+16    28.2569     28.1598    1069.09     1064.1   0.0050755     0.00193453                 0.0133517                   0.00266343           3.84808             2.07277                    0.756916                     0.717933                   1.01511                     0.747276                      0.592165                       0.621734                            1.30744                                 1.01961                     0.378458                    0.358967             -0.039914                 -0.155573                       -0.0421539                        0.00330729
E3_RTP                       0.000344428          0.00703839            0                      0.00552383         -2.88983e+16       -inf              28.1281     28.1681    1061.77     1065.18  0.000517259   0.00404262                 0.000344428                 0.00703839           1.8915              7.06997                    0.481253                     0.708343                   0.414093                    1.22946                       0.324268                       0.547932                            1.5973                                  1.69168                     0.240627                    0.354171             -0.0562675                -0.066186                       -0.00755166                      -0.090008
E3_SPEC_MOM                  0.00281566           0.00255636            0.000520669            0.000389956        -3.06422e+16         -3.16104e+16    28.2047     28.1655    1065.46     1064.82  0.00207715    0.00203709                 0.00281566                  0.00255636           3.03434             2.62453                    0.680394                     0.701891                   0.814822                    0.863412                      0.592832                       0.522428                            2.21531                                 1.11966                     0.340197                    0.350946             -0.0488075                -0.0630721                      -0.00624918                      -0.0289225
E3_SPEC_EDGE                 0.00111091           0.00409314            0                      0.00193402         -1.70557e+16         -5.10318e+16    28.1189     28.1663    1059.5      1064.87  0.00146923    0.00258202                 0.00111091                  0.00409314           4.02196             3.04972                    0.757427                     0.708209                   1.03502                     0.864988                      0.591472                       0.67376                             1.43532                                 1.27792                     0.378714                    0.354105             -0.0597013                -0.016803                       -0.00773621                      -0.0238967
E3_SPEC_ENT                  0.000567863          0.00118401            0                      0                  -3.91427e+16         -1.18208e+17    28.1613     28.1202    1063.92     1061.32  0.00116769    0.00122962                 0.000567863                 0.00118401           3.90208             2.40495                    0.869143                     0.656186                   1.27967                     0.680146                      0.723875                       0.561432                            0.927277                                1.26542                     0.434571                    0.328093             -0.0385242                -0.0527848                      -0.0144615                       -0.0302402
E3_SLOPE                     2.74804e-05          3.88523e-06           0                      0                  -3.36908e+16         -3.22198e+16    28.1407     28.1148    1062.19     1060.81  0.000224      8.04033e-05                2.74804e-05                 3.88523e-06          4.35344             3.35773                    0.748086                     0.715422                   0.97363                     0.887278                      0.630594                       0.5802                              1.25574                                 1.038                       0.374043                    0.357711             -0.0572556                -0.0418038                      -0.0167938                       -0.0176851
E3_INTERCEPT                 0.00373323           0.0645293             0.00212844             0.0625108        -inf                   -4.89042e+16    28.0823     28.3284    1057.85     1077.05  0.00286024    0.0106032                  0.00373323                  0.0645293            3.55593             3.14355                    0.798673                     0.678682                   1.1642                      0.869117                      0.658076                       0.526842                            1.71149                                 3.98015                     0.399336                    0.339341             -0.0276968                 0.00511757                     -0.00938719                       0.0485128
E3_MEAN_FREQ                 0.0427102            0.0327261             0.040837               0.0311075        -inf                   -1.36972e+17    27.9152     28.2913    1045.96     1074.39  0.00895454    0.00843239                 0.0427102                   0.0327261            3.39439             5.35844                    0.745047                     0.760347                   0.958362                    1.1207                        0.582997                       0.652951                            3.79845                                 1.36474                     0.372524                    0.380174             -0.0660035                -0.115698                        0.0395841                       -0.0215452
E3_OCC_BAND                  0.0151386            0.0226318             0.0133767              0.0205683          -2.98352e+17         -1.78235e+16    28.001      28.2784    1051.61     1071.16  0.00549687    0.00621045                 0.0151386                   0.0226318            2.66276             2.38439                    0.828093                     0.791524                   1.04822                     0.88821                       0.637311                       0.729461                            1.36647                                 1.22344                     0.414046                    0.395762             -0.083193                 -0.223258                        0.0167145                       -0.00176228
