Feature            Appearances
E7_RTP                       0
E7_SPEC_MOM                  0
E7_MEAN_FREQ                 0
E7_POWER_BAND                0
E7_WLT_ENT                   0
E7_KURT                      0
E7_SKEW                      0
E7_STD                       0
E8_BP_DELTA                  0
E8_RTP                       0
E8_SPEC_ENT                  0
E8_MEAN_FREQ                 0
E8_POWER_BAND                0
E8_WLT_ENT                   0
E8_KURT                      0
E8_VAR                       0
E8_STD                       0
E8_LOG_ENE_ENT               0
E9_BP_ALPHA                  0
E9_BP_GAMMA                  0
E9_SPEC_MOM                  0
E9_SLOPE                     0
E9_OCC_BAND                  0
E9_POWER_BAND                0
E9_WLT_ENT                   0
E9_SKEW                      0
E9_VAR                       0
E10_BP_ALPHA                 0
E10_BP_BETA                  0
E10_INTERCEPT                0
E10_MEAN_FREQ                0
E10_OCC_BAND                 0
E10_KURT                     0
E10_SKEW                     0
E11_BP_BETA                  0
E11_BP_GAMMA                 0
E11_SPEC_MOM                 0
E11_SPEC_ENT                 0
E11_OCC_BAND                 0
E11_POWER_BAND               0
E11_VAR                      0
E11_STD                      0
E11_LOG_ENE_ENT              0
